person	id
迎泽区	1007
界首市	1008
乐清市	1009
鸡东县	1010
阿拉善右旗	1011
沛县	1012
常熟市	1013
城步苗族自治县	1014
祁门县	1015
容城县	1016
宏伟区	1017
长白朝鲜族自治县	1018
含山县	1019
广陵区	1020
龙沙区	1021
枣阳市	1022
安远县	1023
临泽县	1024
伊金霍洛旗	1025
孟连傣族拉祜族佤族自治县	1026
辰溪县	1027
宁海县	1028
姜堰区	1029
渝北区	1030
新津县	1031
瑞丽市	1032
农安县	1033
永平县	1034
富顺县	1035
惠济区	1036
枝江市	1037
汤原县	1038
门头沟区	1039
陆川县	1040
灵璧县	1041
武侯区	1042
英德市	1043
周至县	1044
平湖市	1045
西工区	1046
永福县	1047
五华区	1048
富川瑶族自治县	1049
西峰区	1050
立山区	1051
鹤山市	1052
凤县	1053
曲江区	1054
兰陵县	1055
温县	1056
福清市	1057
津南区	1058
通渭县	1059
牧野区	1060
彬州市	1061
遂平县	1062
湖口县	1063
凤凰县	1064
长武县	1065
龙感湖管理区	1066
兴海县	1067
陵水黎族自治县	1068
余庆县	1069
海港区	1070
万年县	1071
泰来县	1072
杂多县	1073
宜阳县	1074
吴堡县	1075
纳溪区	1076
榆阳区	1077
绿园区	1078
孝昌县	1079
将乐县	1080
安次区	1081
江城区	1082
碾子山区	1083
修文县	1084
永春县	1085
赣榆区	1086
偃师市	1087
光山县	1088
如东县	1089
库车市	1090
让胡路区	1091
槐荫区	1092
荥阳市	1093
山阴县	1094
钟祥市	1095
青阳县	1096
垣曲县	1097
朝阳县	1098
龙口市	1099
沅江市	1100
盐田区	1101
新丰县	1102
洛川县	1103
武冈市	1104
苏家屯区	1105
滨湖区	1106
竹溪县	1107
淮滨县	1108
辽中区	1109
铜鼓县	1110
汉滨区	1111
高县	1112
馆陶县	1113
路桥区	1114
二道区	1115
德惠市	1116
鹿寨县	1117
科尔沁右翼中旗	1118
临西县	1119
新吴区	1120
桐乡市	1121
郫都区	1122
润州区	1123
弋阳县	1124
阿城区	1125
吴江区	1126
莲湖区	1127
玉泉区	1128
柴桑区	1129
城关区	1130
舞阳县	1131
滨海新区	1132
封开县	1133
宝丰县	1134
柯城区	1135
平乡县	1136
商南县	1137
滨江区	1138
平武县	1139
原州区	1140
大田县	1141
商州区	1142
崂山区	1143
浑源县	1144
内黄县	1145
汶上县	1146
璧山区	1147
莲都区	1148
共和县	1149
安吉县	1150
邵武市	1151
荔湾区	1152
巴里坤哈萨克自治县	1153
珠晖区	1154
湘桥区	1155
昌图县	1156
射洪县	1157
碧江区	1158
梁园区	1159
浦城县	1160
北仑区	1161
罗庄区	1162
龙里县	1163
保定高新技术产业开发区	1164
岳麓区	1165
瀍河回族区	1166
兰坪白族普米族自治县	1167
古交市	1168
中山区	1169
昌黎县	1170
德江县	1171
新洲区	1172
古县	1173
黄龙县	1174
洮南市	1175
平安区	1176
礼县	1177
荔城区	1178
瑞昌市	1179
齐河县	1180
奎屯市	1181
黄陂区	1182
临沂高新技术产业开发区	1183
邳州市	1184
相城区	1185
河津市	1186
沿滩区	1187
高平市	1188
四会市	1189
双桥区	1190
泾源县	1191
八公山区	1192
苏尼特右旗	1193
郎溪县	1194
汉川市	1195
月湖区	1196
同德县	1197
沧州高新技术产业开发区	1198
嫩江县	1199
南和区	1200
南明区	1201
泉山区	1202
福泉市	1203
龙城区	1204
定边县	1205
靖边县	1206
南宫市	1207
合肥高新技术产业开发区	1208
山西朔州经济开发区	1209
东安县	1210
隆昌市	1211
庐山市	1212
南岗区	1213
明水县	1214
秦皇岛市经济技术开发区	1215
民勤县	1216
连云港高新技术产业开发区	1217
晋江市	1218
大东区	1219
平塘县	1220
岱岳区	1221
贵德县	1222
驿城区	1223
景洪市	1224
襄垣县	1225
嘉陵区	1226
右江区	1227
娄烦县	1228
大悟县	1229
老城区	1230
潮南区	1231
行唐县	1232
原阳县	1233
科尔沁左翼后旗	1234
黄石港区	1235
肃南裕固族自治县	1236
石渠县	1237
仁怀市	1238
怀集县	1239
南涧彝族自治县	1240
兴庆区	1241
朗县	1242
湖南衡阳高新技术产业园区	1243
介休市	1244
松滋市	1245
吉阳区	1246
禹城市	1247
万荣县	1248
习水县	1249
红花岗区	1250
石柱土家族自治县	1251
洛江区	1252
托克托县	1253
龙港市	1254
祥符区	1255
昌江黎族自治县	1256
永昌县	1257
双辽市	1258
阿克陶县	1259
南乐县	1260
东风区	1261
崖州区	1262
五指山市	1263
乌兰县	1264
盖州市	1265
济源市	1266
莱西市	1267
龙潭区	1268
安乡县	1269
牡丹区	1270
唐河县	1271
宁都县	1272
安龙县	1273
武城县	1274
合江县	1275
宁阳县	1276
崇礼区	1277
天元区	1278
蜀山区	1279
德化县	1280
海兴县	1281
镇江新区	1282
漠河市	1283
港闸区	1284
山丹县	1285
绥阳县	1286
山阳区	1287
长丰县	1288
溆浦县	1289
东西湖区	1290
临猗县	1291
威海火炬高技术产业开发区	1292
泽普县	1293
云龙示范区	1294
平谷区	1295
邛崃市	1296
泸西县	1297
清徐县	1298
临沂临港经济开发区	1299
七星区	1300
镇宁布依族苗族自治县	1301
武清区	1302
息烽县	1303
宣州区	1304
东光县	1305
兖州区	1306
阳明区	1307
沧州渤海新区	1308
牟平区	1309
伊宁市	1310
津市市	1311
保定白沟新城	1312
墨竹工卡县	1313
富源县	1314
兰考县	1315
东兴区	1316
沙河口区	1317
武陟县	1318
前郭尔罗斯蒙古族自治县	1319
兴城市	1320
营山县	1321
海淀区	1322
金凤区	1323
墨江哈尼族自治县	1324
青神县	1325
武鸣区	1326
青铜峡市	1327
克东县	1328
洪泽区	1329
湘潭昭山示范区	1330
肥城市	1331
上犹县	1332
普兰店区	1333
利川市	1334
连城县	1335
南阳市城乡一体化示范区	1336
江永县	1337
革吉县	1338
大渡口区	1339
平邑县	1340
双牌县	1341
忠县	1342
昭觉县	1343
靖州苗族侗族自治县	1344
泸县	1345
南部县	1346
旌阳区	1347
龙湖区	1348
盘龙区	1349
肥乡区	1350
吉木萨尔县	1351
罗平县	1352
宾川县	1353
永康市	1354
商都县	1355
开阳县	1356
泽州县	1357
大祥区	1358
临桂区	1359
余姚市	1360
芙蓉区	1361
东港市	1362
扎赉特旗	1363
兴文县	1364
普格县	1365
翔安区	1366
南郑区	1367
临澧县	1368
虎丘区	1369
昭化区	1370
信阳高新技术产业开发区	1371
铅山县	1372
隆德县	1373
集安市	1374
洪湖市	1375
卓资县	1376
简阳市	1377
灵武市	1378
大埔县	1379
澄海区	1380
黄州区	1381
端州区	1382
东平县	1383
郧西县	1384
宜都市	1385
隆阳区	1386
阳原县	1387
京山市	1388
丰台区	1389
乌恰县	1390
南和县	1391
嘉祥县	1392
嘉禾县	1393
新源县	1394
宝安区	1395
银州区	1396
志丹县	1397
秦安县	1398
盐池县	1399
郯城县	1400
兴业县	1401
东丽区	1402
高要区	1403
保亭黎族苗族自治县	1404
东宝区	1405
阿鲁科尔沁旗	1406
灌阳县	1407
武平县	1408
镇雄县	1409
右玉县	1410
施秉县	1411
焉耆回族自治县	1412
岑巩县	1413
佛冈县	1414
广宗县	1415
城区	1416
新宾满族自治县	1417
宁河区	1418
竹山县	1419
密云区	1420
北碚区	1421
北屯市	1422
筠连县	1423
安宁市	1424
沾化区	1425
临沭县	1426
庆安县	1427
工农区	1428
岢岚县	1429
乌苏市	1430
北林区	1431
新干县	1432
岱山县	1433
砀山县	1434
石景山区	1435
前锋区	1436
广丰区	1437
霍山县	1438
利通区	1439
歙县	1440
疏附县	1441
安徽芜湖长江大桥经济开发区	1442
康平县	1443
清河区	1444
龙华区	1445
楚雄市	1446
恒山区	1447
滨城区	1448
孝南区	1449
华容县	1450
克拉玛依区	1451
长春高新技术产业开发区	1452
吴桥县	1453
覃塘区	1454
吉安县	1455
巨鹿县	1456
雷波县	1457
伊通满族自治县	1458
龙海市	1459
拜城县	1460
陈仓区	1461
磴口县	1462
揭东区	1463
香河县	1464
南芬区	1465
宜秀区	1466
兴隆县	1467
清水县	1468
长清区	1469
德保县	1470
蓬溪县	1471
江源区	1472
河北衡水高新技术产业开发区	1473
郑州经济技术开发区	1474
临城县	1475
扶余市	1476
博野县	1477
南华县	1478
当阳市	1479
海珠区	1480
广阳区	1481
休宁县	1482
怀安县	1483
临渭区	1484
禄劝彝族苗族自治县	1485
内乡县	1486
深泽县	1487
洛龙区	1488
长春经济技术开发区	1489
宁化县	1490
固安县	1491
茂县	1492
库伦旗	1493
玉屏侗族自治县	1494
山西转型综合改革示范区	1495
平陆县	1496
河口区	1497
洞头区	1498
昆玉市	1499
涞水县	1500
阜平县	1501
新平彝族傣族自治县	1502
阜南县	1503
蒲城县	1504
涪城区	1505
清新区	1506
沙依巴克区	1507
思明区	1508
大化瑶族自治县	1509
句容市	1510
普定县	1511
东城区	1512
仪陇县	1513
子长市	1514
嘉善县	1515
阳山县	1516
密山市	1517
德州经济技术开发区	1518
师宗县	1519
江岸区	1520
蚌埠市高新技术开发区	1521
启东市	1522
龙圩区	1523
东台市	1524
甘南县	1525
化隆回族自治县	1526
和布克赛尔蒙古自治县	1527
三门县	1528
灵川县	1529
大竹县	1530
复兴区	1531
淮上区	1532
